Joint_A_lwr,Joint_A_upr,Joint_B_lwr,Joint_B_upr,Joint_C_lwr,Joint_C_mid,Joint_C_upr,Joint_D_lwr,Joint_D_mid,Joint_D_upr,车身重量,扭转刚度,扭转模态,弯曲刚度,弯曲模态
7,5,8,8,7,5,9,3,1,2,339.403,9270.14,24.20592432,6771.94,36.64705667
4,6,3,5,6,3,2,8,7,8,346.817,8653.37,24.89606135,6528.44,34.62648096
3,5,5,6,9,2,8,2,6,8,350.343,8852.1,20.19922442,7247.5,36.15715917
6,5,5,1,8,6,1,8,1,6,351.937,10184.6,27.85011964,6943.19,35.32048622
9,6,9,1,7,5,8,4,6,3,342.478,7749.71,21.56497246,7051.63,36.3121121
2,1,9,7,2,5,7,3,3,4,351.715,8469.42,19.58699104,7899.91,37.0239356
2,6,3,8,8,4,4,2,1,7,349.939,8579.16,24.11801407,6453.46,34.52864514
5,7,9,2,7,8,5,1,5,2,339.707,7619.23,22.34030371,7044.07,35.96075941
2,7,2,8,8,1,2,6,8,2,358.201,8641.04,25.79593407,6667.55,34.49313262
4,6,9,2,5,3,2,6,7,7,351.11,8927.49,26.25881047,6764.47,34.6832348
4,8,9,3,9,5,7,4,5,3,349.666,6750.4,20.36236052,8015.09,36.67289
7,5,5,8,7,9,9,8,3,9,350.158,9021.65,21.63937273,6852.5,36.26849361
8,3,6,4,4,3,1,6,3,7,346.756,8977.38,26.10901839,6973.73,37.01722749
7,3,9,6,7,3,1,8,7,9,342.319,8469.5,25.35000522,6054.61,35.07338494
8,1,5,4,3,6,5,5,6,5,345.703,8763.68,24.26379813,5900.61,31.95841972
7,5,5,5,2,2,3,6,6,8,347.243,8111.93,19.98932455,6568.17,34.28224539
9,2,7,7,5,4,8,2,5,8,347.996,7774.44,21.10735729,6923.13,34.53951908
2,1,5,1,5,7,8,4,6,3,360.636,8891.84,23.0515515,7236.39,38.98607458
1,6,6,2,4,2,8,2,8,8,342.411,7914.47,20.52305279,6811.39,34.18287229
5,9,3,3,2,6,7,3,3,2,340.78,6984.4,17.36532751,6181.96,33.65127063
7,3,9,4,7,8,4,3,8,1,337.601,8757.15,23.63569692,6589.43,35.23539825
8,2,3,4,6,8,9,4,7,1,342.156,8555.29,22.64613817,6078.39,33.04056483
6,7,6,4,1,6,9,9,9,9,353.898,7358.26,20.10744085,6440.65,33.1689507
4,8,6,5,7,1,7,1,3,6,341.21,6950.43,21.91928694,6786.57,34.27501954
9,3,6,1,3,8,9,7,1,5,342.381,8769.77,22.19411411,6299.47,33.91098001
9,7,5,7,5,7,2,9,9,1,357.283,8753.81,25.53349685,7767.7,36.30759504
2,4,9,4,6,8,6,4,5,6,351.551,8331.75,23.82041241,7037.5,39.25929249
1,5,8,9,8,2,5,2,5,5,346.367,9235.47,22.50943596,6591.79,34.93951293
7,6,6,8,1,8,3,8,7,3,340.417,7501.3,20.17269067,6192.37,32.55782666
1,2,8,6,9,3,4,2,1,6,344.805,9430.81,23.04033716,7101.19,39.277554
4,6,3,7,6,3,3,3,6,5,343.404,8608.57,23.51578335,6817.43,35.27408013
4,8,4,6,3,1,9,6,5,1,346.987,8178.65,25.54354128,6133.46,34.74928016
8,7,8,2,2,2,4,3,5,2,340.472,7508.69,21.52700639,6706.48,34.89825014
8,9,7,6,4,4,7,9,1,5,345.598,7708.58,22.05805386,6501.11,34.74882275
3,9,2,1,9,1,4,9,7,3,364.387,8905.31,23.58766129,7387.74,35.92575652
8,2,5,1,5,4,7,8,3,6,351.308,8236.78,19.73195996,7372.93,36.04308024
9,3,8,8,3,1,3,8,7,7,338.415,7474.08,22.37887705,5182.3,30.01882057
1,3,4,1,5,5,7,7,2,2,354.091,8602.3,22.9159347,7731.81,37.03155807
7,5,7,8,7,1,2,6,7,1,345.284,9678.55,26.90936738,5888.83,34.02057643
7,8,1,5,7,9,8,4,4,4,346.795,6846.14,20.78762039,6716.18,34.60583689
1,3,7,9,6,8,7,3,3,2,338.09,7828.43,18.36619043,6374.75,34.62142828
8,7,3,2,9,5,1,8,4,9,342.626,7804.24,24.66958544,7230.43,36.73824639
9,3,5,8,6,7,4,3,8,7,341.704,9148.58,22.7826294,7085.53,38.01893299
2,1,3,1,2,9,8,9,5,9,371.342,8742.98,19.34821154,7133.11,36.4959535
5,4,6,1,9,7,8,4,1,8,344.088,7981.18,19.8658852,7030.14,35.27920125
9,5,1,4,6,1,5,1,2,6,340.413,9287.59,23.49135303,6539.03,34.00709465
8,4,7,8,2,7,8,1,7,8,342.427,7735,18.72763811,6094.53,33.4814676
7,8,9,2,5,6,5,8,4,3,336.998,6932.63,22.45299685,6275.82,33.85011015
1,1,1,7,2,1,3,1,3,2,345.464,8660.21,20.19972853,6928.52,34.81059627
8,2,7,8,8,1,6,7,2,5,344.438,8796.79,22.86998812,5990.37,33.17459684
6,7,9,8,6,5,4,4,6,1,342.451,7730.68,23.5391779,6871.88,37.91471047
1,2,2,6,9,6,4,2,7,6,352.257,9569.79,25.22009065,6966.08,34.38742141
1,9,6,6,9,6,8,8,9,5,341.453,7722.96,23.38198224,6761.17,36.27056573
5,8,7,3,4,9,5,3,9,6,343.923,7854.96,21.0208717,7505.74,36.76873842
3,7,9,3,9,5,2,5,1,6,342.853,7924.15,25.71102117,7629.82,39.24832957
1,5,7,4,3,8,7,6,4,2,343.82,8145.86,20.65549223,5737.62,33.12451591
9,3,1,8,1,2,9,1,9,5,343.475,8918.14,23.4810672,7007.82,34.94937628
2,1,9,3,6,9,2,7,4,6,353.293,9850.27,26.1047779,7163.41,39.26807662
7,7,5,9,7,5,7,9,3,8,353.26,6414.38,16.86814714,7356.46,35.62279473
4,3,2,3,4,8,6,2,6,8,353.712,7952.46,18.97270949,7392.59,34.55338068
6,5,2,2,9,3,5,9,9,4,371.845,10051.85,22.92373885,8079.82,36.97713273
9,4,5,8,4,4,2,2,7,3,351.848,10066.1,26.62799039,7625.64,36.61239581
8,8,8,1,6,1,1,8,2,3,342.916,8094.9,26.79452285,6179.39,34.4270925
3,7,4,1,9,9,4,5,8,8,348.928,7698,22.43557995,7549.58,39.16654471
2,2,7,7,8,7,2,3,8,8,347.06,9665.15,25.50508335,6780.88,35.64435495
9,5,4,5,1,3,6,5,9,8,344.904,7828.52,20.5509997,7208.88,35.57220849
8,2,7,5,9,2,3,8,9,5,342.788,8299.49,19.97017001,6947.82,35.91854995
1,2,3,4,3,5,6,5,6,5,343.918,8281.23,22.41038576,5966.67,34.19455993
6,3,1,2,2,2,2,2,7,2,356.03,9484.83,25.97274425,6438.18,32.95923591
1,4,6,2,6,1,3,1,3,1,339.79,8653.79,23.93988941,6721.62,34.87262791
1,7,3,2,3,9,2,4,7,2,346.787,8050.24,24.92195857,5683.91,31.57510023
3,3,2,9,1,1,1,3,9,4,353.891,9876.64,26.85810893,7343.15,35.11433661
5,1,1,7,7,3,2,9,9,4,362.756,10392.72,26.47104273,7641.13,37.06151044
2,9,4,4,9,1,2,4,4,6,353.327,9594.13,26.8662944,7634.85,39.26573014
2,2,3,1,8,1,4,1,6,3,349.552,9301.46,24.71491475,6643.72,34.69262378
2,9,2,5,5,7,6,8,1,1,350.88,7928.7,23.62519732,6984.28,38.73672648
5,1,1,9,9,8,3,6,2,3,346.611,8185.27,18.34609995,7013.29,35.64061324
6,7,4,1,2,3,7,2,3,9,356.88,6762.01,15.52534675,7168.38,36.05584395
5,6,4,1,7,7,5,4,3,4,349.071,8822.51,23.55739445,6691.91,33.997852
1,8,7,2,1,6,1,1,4,7,337.782,8389.76,25.98803775,6225.94,32.25660079
1,6,8,5,6,9,9,7,1,7,342.491,8622.86,23.79732521,6593.14,34.05110414
5,9,9,5,2,6,2,2,8,4,345.846,8699.51,25.78297694,6442.62,33.6411434
5,2,2,6,5,3,1,9,2,2,364.986,10298.12,27.59678426,7266.66,35.99416495
1,4,9,4,5,2,5,5,8,5,343.715,8390.24,25.26148342,6325.44,33.23906177
9,2,7,3,7,1,3,1,2,9,339.597,7330.68,17.56928164,5919.22,31.43901616
7,2,4,7,8,4,6,5,5,4,345.865,8086.23,21.54231714,6946.13,36.06292124
2,2,4,8,5,4,3,4,7,6,357.723,8556.61,24.72313973,6794.08,34.09267712
3,9,3,7,6,9,4,8,2,8,342.328,7569.94,22.34109172,6401.89,37.97660758
6,7,9,5,3,1,2,9,7,3,355.431,7898.41,24.48569798,5698.16,32.01439298
5,1,5,9,9,7,8,3,7,7,343.829,8660.07,19.07045407,7276.6,35.92609249
3,2,5,8,6,1,5,2,9,1,355.197,9943.61,24.0323341,7458.46,37.43364215
6,6,2,2,4,9,7,3,7,5,356.995,8860.94,22.63184505,7453.31,35.28975886
9,9,6,5,5,3,4,6,5,5,347.59,8028.13,23.04460019,7197.63,35.29559429
4,4,6,1,6,5,6,2,4,5,351.293,9212.35,24.48254774,7431.26,36.97886067
6,4,5,2,6,5,6,2,2,5,358.797,9303.32,23.75508249,7574.89,36.64325939
8,6,8,1,3,4,3,7,2,5,347.305,8226,22.28100235,5631.12,32.09672666
6,2,2,7,1,2,4,4,3,3,353.725,8808.53,24.35901412,6754.11,32.72948306
1,7,9,2,7,9,2,8,3,7,341.377,7991.13,25.35251165,6622.47,35.06461515
1,4,9,2,1,2,8,6,4,7,340.139,7758.25,22.85219903,6173.98,32.40346582
5,2,3,3,5,2,9,7,2,8,345.954,8254,22.83557137,6228.35,32.49878406
3,6,3,6,7,9,1,6,9,2,352.29,9006.97,26.73140715,6234.36,35.66403318
1,2,9,7,9,7,3,9,3,9,351.959,8260.08,21.00027346,6888.47,35.44969689
6,7,7,3,7,6,8,9,2,3,355.337,6677.51,19.70246436,5835.98,31.71839041
6,3,8,4,3,7,5,4,6,7,345.024,8030.77,23.27223243,5298.88,30.12864667
2,2,3,4,1,4,9,4,5,8,354.041,8366.54,22.59162382,6444.72,33.47239575
6,5,5,1,3,1,6,7,5,2,358.877,9484.57,21.82126038,6491.83,34.81793868
2,6,3,9,7,4,1,6,7,2,351.289,8976.35,26.89611553,5948.05,33.03412786
1,6,6,5,9,3,4,1,8,3,344.343,9058.85,24.65331687,7901.99,36.48315144
3,9,9,3,4,4,9,2,3,1,343.167,7940.43,20.68150945,7158.4,35.77310178
8,8,1,8,6,6,3,8,6,7,336.536,6829.47,20.98896602,6009.91,32.7618985
4,5,4,9,2,5,9,5,3,4,349.835,8815.79,20.1706388,7583.44,37.37485105
1,2,8,4,9,7,5,4,6,5,344.662,9303.28,25.67313676,6597.54,34.33699332
2,6,9,7,7,3,3,5,1,3,347.012,7651.18,22.95995803,6889.37,35.61962357
3,4,6,1,3,1,3,8,2,1,344.091,8279.42,23.80104719,5792.38,32.39504604
5,5,4,9,3,9,6,9,7,8,355.164,8206.6,19.10971917,5987.69,32.51930251
7,1,5,9,6,7,2,7,4,9,344.964,9509.58,24.68897426,6928.35,35.69330326
9,5,4,6,2,6,3,5,9,1,343.018,8548.62,21.43462271,6723.11,35.15799505
7,2,2,6,3,1,8,2,5,3,353.772,8208.88,19.12936784,6053.69,33.57085155
1,1,2,4,8,1,7,7,7,5,353.9,9138.65,21.00467439,6592.05,33.28424927
5,4,9,2,4,1,8,1,5,7,341.767,8365.1,23.3360035,7236.33,36.00388923
2,7,3,2,3,3,8,1,7,6,348.664,6954.56,21.36534785,5950.09,32.76772609
1,8,3,5,4,9,3,9,3,3,353.861,7070.04,23.01660892,6955.23,35.20579711
4,9,8,5,3,9,7,1,8,4,345.214,7175.5,17.29665461,6019.02,32.53171085
3,5,8,1,7,5,7,8,2,7,347.457,8308.38,20.94675421,6716.71,35.86667284
6,5,5,8,6,2,3,7,9,7,354.325,9178.99,22.93101786,7251.13,36.97240095
5,4,7,1,1,6,1,8,2,4,345.889,9294.2,27.8827778,6078.09,32.03754706
4,6,6,9,2,2,9,2,7,5,346.552,8589.61,20.31601194,6526.9,33.22135163
9,9,2,4,5,3,6,3,8,9,347.061,7412.18,19.94609192,7483.94,35.63598334
9,2,2,6,2,1,7,8,6,7,342.575,7858.49,21.36036547,6633.76,33.76520919
1,8,6,9,1,2,2,7,3,4,340.657,8310.97,25.72716586,6603.61,33.16256959
6,8,4,1,3,2,6,3,7,1,344.556,8006.78,24.13849498,5858.37,33.21671625
8,3,4,6,1,6,9,4,1,9,340.737,8180.98,22.30511907,6196.56,32.61918646
8,2,7,5,4,5,1,2,6,1,345.077,9740.68,27.98896814,7492.72,37.48175644
4,8,5,4,4,1,3,2,1,9,349.347,7176.79,21.1367733,7365.03,35.84741394
5,4,9,5,1,8,6,6,1,3,340.416,7904.19,24.13855113,6467.51,34.2693969
1,4,9,8,1,3,8,6,9,4,350.258,8099.75,24.15302758,6742,36.47921177
3,4,8,7,5,9,4,6,4,4,352.35,8629.36,25.08927571,6799.64,34.88550945
2,7,6,3,1,3,7,5,8,5,350.287,6923.87,19.78140144,6763.24,33.69710059
2,2,3,7,8,4,2,3,9,9,351.623,9730.66,25.09270764,7163.55,36.25053373
7,9,7,3,3,5,4,2,6,4,343.212,7587.79,20.67167335,6062.35,33.08913043
9,6,3,6,3,3,4,7,7,9,342.137,7970.66,22.71707863,5537.35,31.9471065
3,1,8,8,3,2,9,6,8,1,343.773,8800.94,26.6054068,5372.54,31.95090299
5,8,3,9,6,6,2,7,8,1,338.187,8406.19,26.24102469,5981.09,33.38604986
4,1,5,3,6,8,9,5,8,5,351.411,8858.86,25.44702642,7375.95,35.76381833
4,5,4,6,2,1,7,9,3,1,357.713,9499.12,21.60440486,6850.29,35.27050023
9,2,7,5,1,1,6,6,9,7,341.189,7758.75,21.80413754,6315.23,32.99607307
9,8,5,2,2,4,5,5,9,5,348.549,7835.28,23.45929648,7558.73,36.30885081
6,9,6,5,4,1,9,5,5,3,346.171,7561.22,23.16549305,7162.86,36.04120553
2,1,9,7,9,6,2,6,2,8,351.903,9403.7,25.64665188,6796.59,35.34971545
7,3,2,6,7,4,8,9,8,5,359.341,8412.88,21.29750448,6281.9,33.39016712
6,9,6,4,5,3,2,4,4,5,352.971,9026.72,26.12895368,7029.83,35.46571759
5,3,9,4,6,8,2,2,9,5,350.382,9817.84,26.8361598,6950.91,36.52306304
7,9,9,5,1,7,7,1,6,3,333.011,6716.61,20.31849794,6215.58,33.12633585
7,2,2,1,6,8,8,8,6,4,348.72,8354.73,21.65930354,6674.61,34.59670295
9,4,5,8,1,4,4,5,2,4,347.283,8664.34,23.72748207,6990.54,34.75718175
2,9,1,2,3,2,5,6,3,1,350.235,8251.72,24.50504364,5853.96,32.75848867
5,8,8,2,5,8,1,1,3,7,344.047,8727.22,26.10411612,6751.83,35.50004956
3,1,1,4,5,9,2,5,1,8,352.28,8861.23,25.53697818,6960.15,37.76621107
4,3,7,5,7,2,7,4,1,8,342.07,7110.47,18.11748069,6130.31,32.47454237
4,5,4,8,9,2,7,6,9,3,353.002,8734.04,18.68018556,7417.49,37.56263887
7,3,4,9,1,7,3,5,5,6,342.12,7512.33,22.86525772,6638.39,34.98771485
3,6,1,3,7,9,3,8,7,9,350.831,7221.08,21.99155333,6460.04,32.52866431
1,2,5,5,6,2,4,1,7,6,344.997,9474.98,24.40748068,7037.74,34.7497999
4,6,7,7,5,6,1,5,1,7,343.796,8593.55,26.48630433,6424.07,33.29200897
3,5,7,3,5,2,6,3,3,8,344.706,8029.49,19.3737172,6394.71,33.31401353
2,2,2,8,1,4,8,8,4,5,357.83,8847.39,24.50259732,6820.78,33.81268979
9,1,8,3,8,9,1,4,6,3,345.345,9053.48,26.31855452,6660.16,34.47642083
6,8,6,3,4,8,9,5,6,3,343.118,7075.76,20.29466087,7004.75,34.83858866
3,6,9,4,6,2,9,5,9,9,341.406,7903.13,22.57322038,6417.96,35.15270316
4,5,4,2,6,9,6,1,2,3,348.732,9519.87,21.65883516,7207.31,36.76082821
8,6,9,7,4,4,2,7,7,8,342.274,8625.18,25.17865045,6898.94,35.53247532
7,4,2,5,7,2,5,4,6,6,346.035,8312.68,23.59510424,6473.8,33.26670863
8,3,1,8,4,6,5,6,1,8,343.064,8078.46,21.74752314,6487.91,34.82126577
2,9,8,5,3,9,4,9,6,6,358.461,8218.01,25.43050667,5994.59,32.61711457
3,3,6,3,9,8,9,8,9,3,348.164,8277.36,19.07239719,7523.82,36.60257852
4,9,2,4,3,5,3,4,8,4,354.358,7515.16,23.01162081,6684.3,34.73051133
5,4,9,3,2,7,7,4,4,2,342.672,7517.64,18.99797596,6512.11,33.55090258
4,3,2,4,7,3,3,8,9,2,355.685,8230.35,22.90600367,7157.77,35.82021487
3,9,6,9,5,1,5,8,4,2,338.213,7740.79,23.14228827,6503.06,33.5243628
3,9,4,3,4,3,4,2,3,3,350.467,8618.81,20.99761244,7728.7,35.9297019
3,2,5,7,7,2,8,1,2,1,346.627,9170.88,23.04023162,6874.57,34.54832281
7,9,2,6,8,5,6,7,1,4,345.186,7655.85,20.50975761,7132.37,35.56406171
8,9,4,5,1,4,7,5,3,4,342.887,6934.18,17.36863837,6762.44,34.09277631
2,7,1,2,6,5,6,1,1,5,348.105,7970.03,22.52848349,7488.04,35.95650818
2,3,1,2,2,7,5,2,1,3,355.771,8921.28,24.09268151,6987.74,34.71431734
7,2,3,5,1,9,5,3,9,9,343.91,8222.95,21.84521907,6541.36,34.60951885
9,8,6,7,9,7,2,9,8,7,347.257,8377.12,25.86382752,7234.17,35.80435739
3,5,6,7,5,7,9,3,1,6,341.137,9470.08,24.2778942,7133.45,35.4625156
1,3,2,5,8,1,2,2,1,6,352.897,9609.64,26.34037577,7164.57,34.67697309
9,9,1,4,1,7,2,9,8,8,349.719,8638.91,24.3706205,6501.85,33.64928789
1,7,2,6,9,1,4,3,4,7,343.172,7996.52,23.17386135,7436.93,35.85361395
1,3,5,5,9,2,4,9,1,6,355.968,9538.27,24.12067949,7845.54,36.80685182
4,9,9,3,5,3,2,4,6,5,349.524,8874.72,26.93592348,7044.75,34.86174888
2,8,9,7,3,6,6,9,1,3,351.808,7013.76,22.93676564,5867.51,32.68053298
4,5,3,9,7,8,2,8,5,8,346.217,9116.71,24.77642644,6887.2,36.7987433
8,5,6,1,5,6,5,7,5,8,350.3,8833.74,20.15952316,6835.88,34.64793374
3,3,7,8,7,9,9,4,2,1,348.677,8736.78,24.33915535,6544.64,34.7865628
7,6,2,2,9,1,6,2,5,9,355.173,7950.53,19.63848018,7275.08,35.94037113
4,9,9,8,5,7,4,9,1,5,352.617,8860.44,25.51389303,6601.64,38.23053297
2,1,7,2,5,8,2,5,1,4,353.18,9294.49,26.95392454,6836.06,39.54584305
8,8,4,5,8,2,6,3,7,9,338.837,6797.99,20.71819336,6240.15,33.25156375
3,7,4,1,3,2,4,4,9,9,347.502,7747.23,22.10043996,6282.31,33.74283113
7,6,9,9,3,5,4,4,8,2,338.103,7686.98,23.29375171,6104.82,34.3030218
3,6,8,6,1,2,5,5,1,1,336.894,8067.07,24.97571816,5935.21,32.90746484
2,1,3,4,5,5,4,8,7,4,355.234,8769.32,24.87957537,6834.91,35.6143295
4,9,5,3,3,3,7,3,1,7,345.683,7430.13,23.08648288,6682.22,34.44223566
4,3,3,8,4,7,5,5,2,2,344.037,8335.62,24.20140113,6156.21,32.9281598
1,1,7,8,3,9,9,7,9,1,348.636,9446.87,26.96692772,6333.19,35.06566079
1,4,8,5,8,6,6,5,7,8,341.616,7277.04,19.40673372,5652.5,29.68230608
1,4,2,8,9,3,7,2,9,8,359.644,7932.94,17.84177627,8080.8,37.43148588
9,8,9,1,1,7,1,5,2,4,340.264,7748.74,27.07337109,6431.72,34.34663772
3,5,5,9,5,7,3,4,9,7,352.384,8362.6,22.53010533,7318.27,34.93122874
2,4,9,9,6,9,1,8,8,5,349.588,9548.72,28.81635777,6764.43,36.08654056
3,9,5,2,3,6,1,6,5,2,354.001,9140.43,26.5963458,6324.33,34.43690991
5,1,4,2,4,5,5,2,6,3,348.235,9634.82,23.09759695,8015.15,37.13060634
5,5,1,1,8,1,3,6,2,7,348.992,8606.81,21.26590604,6288.98,33.3601781
4,6,5,6,8,8,5,5,9,2,350.714,8543.66,23.73179031,7202.19,37.00477792
7,1,4,1,5,8,6,4,1,4,347.893,8546.45,21.70326268,6878.81,34.07509248
5,6,4,3,7,2,2,2,5,2,352.003,9500.12,26.09173823,7060.41,35.12812715
8,4,5,8,3,7,1,2,5,1,354.804,9993.32,27.91874675,6676.49,36.57254291
9,2,4,7,5,4,9,1,1,5,341.287,9401.34,24.58054854,7440.03,35.29750609
7,1,5,4,8,8,6,6,3,6,348.187,8621.25,21.57812049,6746.35,35.74303885
7,6,2,8,1,2,4,7,5,5,352.898,8945.16,23.8217533,6869.11,35.15113803
9,7,3,8,1,5,8,9,9,6,352.313,6923.06,19.73681311,7036.1,35.84192772
5,9,8,3,9,2,5,8,3,1,338.714,8027.11,24.48855664,6715.65,35.59253865
4,2,9,4,2,2,6,9,6,1,350.063,9086.87,22.39806897,6453.17,34.37405845
7,6,9,6,1,9,2,9,9,9,353.631,8589.45,24.87296132,6413.42,35.3944265
2,2,8,7,2,6,2,9,7,2,363.126,9880.2,26.96517397,6160.79,32.63766574
9,5,4,5,9,7,9,9,6,7,349.296,9691.62,22.40141057,7391.75,35.4986
5,8,6,8,4,5,3,2,8,8,343.854,6919.3,20.87146272,7729.09,37.68723989
1,1,9,6,3,7,6,2,1,2,337.479,8313.27,21.04642521,5445.35,31.70390489
3,4,4,5,8,9,4,3,1,1,344.634,9651.58,26.92894017,7342.92,35.83653538
4,7,8,8,8,6,3,1,1,8,337.402,6626.89,21.27329507,6007.69,33.36644969
8,8,7,9,9,5,8,3,6,3,336.847,6941.65,27.78372771,7494.17,37.0873235
4,7,3,5,5,8,1,8,9,7,347.683,8027.42,25.3133297,6959.7,36.34247167
1,5,6,1,5,9,8,7,2,6,353.146,9285.15,21.12132987,7093.12,35.56544522
8,7,4,4,2,1,2,5,5,8,347.897,7810.18,23.93252722,6838.64,35.88767895
6,9,5,2,7,4,5,5,8,1,348.749,8338.65,23.51699028,6925.06,35.11189939
6,5,9,3,6,2,5,9,9,9,355.685,8513.34,20.36431907,6488.45,34.3876737
7,2,3,6,8,6,8,4,5,6,343.001,7794.1,21.60489787,5879.87,33.73518602
3,2,9,6,2,1,8,8,8,5,343.337,8381.9,21.38130807,6195.87,34.14120918
4,9,1,6,5,5,9,6,4,3,349.553,8024.05,24.4368097,7232.05,36.6310264
8,9,7,1,2,6,1,9,5,1,356.452,9102.3,26.4462554,6762.02,35.93392246
1,7,2,5,2,6,7,6,9,4,354.351,6848.96,20.26530806,6909.61,34.51982207
6,3,7,9,2,8,2,6,5,6,352.99,9107.65,26.55397035,6919.1,36.77640792
8,6,9,7,1,9,2,5,9,5,347.273,8462.08,27.15133371,6843.43,35.95502242
6,5,8,9,6,4,5,6,4,8,344.179,7995.31,21.79731137,6044.34,33.69267952
3,5,6,4,4,2,9,2,1,4,344.195,9675.81,22.0555486,7032.33,35.47840878
9,2,9,3,7,7,1,1,8,7,337.141,9014.22,25.71727145,6503.14,34.35325606
9,3,1,9,9,9,2,7,5,1,349.701,9962.5,26.60871219,8060.28,37.8652154
6,4,3,5,8,5,4,7,7,7,349.885,8647.51,24.113154,6870.24,34.86795306
9,2,5,3,5,4,4,6,3,6,350.99,8567.78,23.31205193,7315.66,34.68390159
7,1,4,7,1,2,8,9,7,8,351.923,8126.44,19.26509382,6046.84,31.1565752
8,8,8,6,6,9,1,3,4,1,338.571,8462.9,27.49518715,6448.67,36.38080745
3,2,7,8,8,8,8,7,1,9,345.341,8169.13,20.90805203,6408.55,34.80455434
4,6,9,9,5,6,5,3,9,1,341.723,8846.81,24.65930726,6999.55,35.37518295
4,5,2,9,4,3,5,8,3,9,350.443,8887.78,21.5687526,7513.16,36.55088361
3,1,7,1,4,7,7,2,3,4,349.688,8598.34,20.04644963,6800.72,34.70293504
3,4,3,8,9,8,7,2,4,6,349.256,8239.27,18.85648427,7143.02,39.290469
8,9,3,1,2,7,6,8,4,4,340.485,7183.85,20.61853521,6424.91,34.56396067
9,9,8,1,7,4,8,2,8,9,343.386,7116.67,20.87559413,6215.46,33.19089452
8,4,8,2,7,5,1,8,9,6,347.265,9035.17,27.10543907,6973.23,36.41121166
6,2,6,7,3,9,3,2,6,4,351.261,8204.49,21.07314077,6116.99,32.85111295
2,5,9,1,1,8,9,2,5,8,357.025,9165.29,23.35678297,7217.18,36.65185809
5,8,2,8,1,9,7,9,4,7,359.177,7278.91,21.37148471,7088.4,34.798091
2,8,1,6,9,2,9,2,3,2,351.642,7983.22,24.3876697,7064.21,35.85016115
9,5,3,5,8,6,1,7,6,3,341.525,9485.14,26.07864105,6222.52,33.21900619
6,2,2,9,7,5,1,1,3,6,354.356,10136.48,27.22326948,7733.37,36.48997127
3,3,4,5,5,2,9,3,4,4,346.949,9061.97,24.33499523,7280.45,35.23302404
3,8,7,8,5,6,2,6,6,3,347.238,8263.74,26.57263911,6177.19,33.78998298
8,8,8,4,3,7,4,5,2,9,339.762,6845.78,22.3220074,5310.8,30.90754668
2,7,3,5,7,6,9,5,6,7,343.034,6902.54,21.87222998,6031.66,32.39385125
1,4,4,2,2,8,2,9,6,5,359.879,10743.52,28.65456381,7308.15,35.84556751
5,4,9,4,9,2,4,8,1,1,335.549,8953.22,26.28151744,6953.2,36.06145848
1,8,9,8,3,8,1,8,5,7,342.484,8075.59,26.66983176,6365.35,36.90469152
8,4,2,4,4,2,9,7,3,9,349.202,8847.73,22.2568686,7097.59,35.388058
7,9,2,6,1,5,9,7,9,7,348.51,8063.97,20.9509415,7332.72,35.68042761
4,1,9,9,7,5,6,6,2,7,342.307,8056.8,20.5315179,6800.89,36.11018617
5,1,1,9,9,5,5,4,4,8,345.218,8471.19,21.86832277,8033.29,37.97204871
3,9,1,3,4,9,5,8,8,7,345.094,7816.65,20.94690658,7168.16,36.1335387
6,9,3,9,4,6,2,6,4,3,343.4,8416.11,26.12913884,6394.81,34.88515983
9,3,7,7,9,7,5,7,7,3,341.552,8667.89,23.22171288,6883.67,34.99726642
5,7,3,3,4,6,4,1,3,5,339.512,7717.91,21.01541954,6564.3,33.75663269
2,7,1,4,6,3,6,5,3,4,352.152,7058.77,21.19097691,6855.8,35.57320717
9,7,3,3,7,4,9,3,6,7,332.728,6864.18,19.20809451,6357.62,33.34147174
6,7,3,5,7,6,6,5,6,1,339.344,6930.44,21.7626869,5809.68,31.85657696
5,5,3,7,7,9,6,9,6,6,352.839,8925.23,21.28917915,6585.97,34.5442765
7,2,3,9,4,9,2,1,7,2,341.116,9402.91,25.98441067,6742,36.75266405
2,2,2,2,8,8,7,6,5,9,362.915,7946.69,20.99629266,7314.1,35.85825318
8,4,5,8,8,7,3,8,3,2,345.523,8121.61,21.89689929,6700.67,34.51544547
5,9,4,4,8,8,8,9,4,3,353.138,7959.97,23.78049614,7074.58,35.76196333
9,8,1,5,7,3,4,5,5,7,343.731,7235.27,23.26299795,7131.84,35.35232292
4,4,4,9,8,2,2,3,3,7,342.396,9869.09,27.05674429,7006.9,35.81947836
3,4,6,4,1,8,3,5,1,4,343.144,7792.93,22.9653412,6509.3,33.64902667
1,4,5,6,7,5,8,1,7,1,347.933,9027.81,24.35510388,7493.98,37.16748554
7,4,8,4,3,2,8,4,7,5,344.185,7909.43,23.31676067,4969.75,29.05554634
8,2,8,3,5,4,5,2,2,9,350.172,7857.38,20.09097487,6067.04,31.2534075
5,9,2,4,7,2,9,7,6,3,346.346,8216.1,23.06351931,6767.08,34.42070583
1,1,4,6,3,5,5,2,2,4,350.055,9232.89,22.71157806,6535.38,35.3995488
9,8,1,4,4,8,5,8,5,3,341.511,7509.52,23.1375599,7406.38,37.2614156
8,9,3,3,5,5,1,3,5,4,350.145,8768.06,25.54827895,7595.19,36.40033597
5,3,7,1,9,7,3,1,8,2,342.893,8425.7,19.25630284,6854.62,35.07136703
